year,arr,mva,ava
2001,0.085,-0.079,
2002,0.085,-0.109,
2003,0.085,0.243,
2004,0.085,0.151,
2005,0.085,0.145,
2006,0.085,0.164,
2007,0.085,0.172,
2008,0.08,-0.287,
2009,0.08,0.091,
2010,0.08,0.119,
2011,0.075,0.027,
2012,0.075,0.12,
2013,0.075,0.136,
2014,0.075,0.064,
2015,0.075,0.004,
2016,0.0725,0.065,
2017,0.0725,0.151,
2018,0.0725,-0.046,
2019,0.07125,0.188,
2020,0.07,0.111,
2021,0.07,0.172,
